PDB_ID	RELEASE_DATE	INITIAL_SPLIT	STRICT_RANK1_RMSD_ANGSTROM	SELECTION_STATUS	FINAL_SPLIT	FINAL_STATUS	EXCLUSION_REASON	RNA_CHAIN_ID	TARGET_DIRECTORY
2L8C	2011-02-23	train	2.75	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2L8F	2011-08-31	train	2.582	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2L8H	2011-03-23	train	3.303	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2l8h
2L8U	2011-02-23	train	1.763	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2L8W	2011-02-23	train	2.392	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2L94	2011-06-15	train	2.34	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2l94
2L9E	2011-03-02	train	1.191	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2l9e
2LA9	2011-08-03	train	2.406	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2la9
2LAC	2011-08-03	train	2.414	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lac
2LBJ	2012-04-04	train	4.529	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lbj
2LBK	2012-04-04	train	4.04	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lbk
2LBL	2012-04-04	train	4.284	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lbl
2LBQ	2011-08-03	train	2.72	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lbq
2LBR	2011-08-03	train	2.898	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lbr
2LC8	2011-11-23	train	7.318	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lc8
2LDL	2011-12-28	train	1.964	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ldl
2LDT	2011-09-07	train	5.388	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ldt
2LDZ	1999-02-23	train	3.513	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ldz
2LHP	2012-07-25	train	6.225	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lhp
2LI4	2012-08-22	train	9.046	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2li4
2LJJ	2012-09-19	train	7.301	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ljj
2LK3	2012-02-22	train	3.45	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lk3
2LKR	2012-02-22	train	28.543	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 28.543 A > 15 A	A	
2LP9	2012-05-16	train	2.182	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lp9
2LPA	2012-05-16	train	0.994	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lpa
2LPS	2012-08-08	train	5.215	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lps
2LPT	2012-08-08	train	2.806	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lpt
2LQZ	2012-08-01	train	5.254	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lqz
2LU0	2013-04-10	train	5.036	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lu0
2LUB	2012-07-25	train	6.046	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lub
2LUN	2013-12-18	train	5.619	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lun
2LV0	2013-06-26	train	2.483	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lv0
2LVY	2013-04-10	train		EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2LWK	2012-08-29	train	2.017	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2lwk
2LX1	2012-11-21	train	6.396	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2M12	2013-10-23	train	8.262	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m12
2M18	2013-04-17	train	1.785	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2M1O	2013-02-13	train		EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2M21	2013-03-20	train	3.546	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m21
2M22	2013-03-20	train	2.454	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m22
2M23	2013-12-18	train	4.631	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2M24	2013-12-18	train	4.74	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m24
2M39	2013-11-27	train		EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2M4Q	2013-03-20	train	6.1	SELECTED	train	KEPT		1	/storage9920/home/tinghao.xia/Data_V1/train/2m4q
2M4W	2014-03-05	train	3.006	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m4w
2M57	2014-02-26	train	5.959	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m57
2M58	2013-04-03	train	19.001	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 19.001 A > 15 A	A	
2M5U	2014-04-02	train	2.81	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m5u
2M8K	2013-06-19	train	7.8	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2m8k
2MEQ	2014-01-01	train	7.356	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2meq
2MER	2014-01-01	train	6.311	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mer
2MFD	2014-10-15	train	4.554	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mfd
2MHI	2013-12-25	train	19.28	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 19.28 A > 15 A	A	
2MI0	2014-01-15	train	7.217	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2MIS	2014-01-22	train	5.202	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mis
2MIY	2014-01-29	train	4.693	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2miy
2MN0	2015-04-15	train	3.086	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mn0
2MNC	2014-10-01	train	2.614	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mnc
2MQT	2014-09-10	train	5.355	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mqt
2MS5	2015-01-28	train	1.012	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2MTJ	2014-10-22	train	6.018	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mtj
2MTK	2014-10-22	train	5.622	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mtk
2MVS	2015-09-16	train	2.659	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2MVY	2015-09-30	train	1.704	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2MXJ	2015-05-06	train	1.116	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mxj
2MXK	2015-05-06	train	1.223	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2MXL	2015-05-06	train	8.701	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mxl
2MXS	2015-12-09	train	2.27	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2mxs
2N0J	2016-02-03	train	2.894	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n0j
2N0R	2015-05-20	train	2.867	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n0r
2N1Q	2015-05-27	train	29.623	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 29.623 A > 15 A	A	
2N2O	2015-08-05	train	8.682	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n2o
2N2P	2015-08-05	train	7.523	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n2p
2N3Q	2015-07-15	train	10.314	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n3q
2N3R	2015-07-15	train	5.655	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n3r
2N4J	2015-07-29	train		EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2N4L	2015-12-02	train	3.089	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n4l
2N6S	2016-08-03	train	3.459	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n6s
2N6T	2016-08-03	train	6.908	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n6t
2N6W	2016-08-03	train	7.382	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n6w
2N6X	2016-08-03	train	13.656	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n6x
2N7M	2015-12-30	train	22.599	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 22.599 A > 15 A	X	
2N7X	2016-04-13	train	4.589	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2n7x
2N8V	2015-11-11	train	8.167	SELECTED	train	KEPT		X	/storage9920/home/tinghao.xia/Data_V1/train/2n8v
2NBX	2016-08-10	train	12.332	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2nbx
2NBY	2016-08-10	train	2.651	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2nby
2NBZ	2016-08-10	train	4.682	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2nbz
2NC0	2016-08-10	train	7.169	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2nc0
2NC1	2016-08-10	train	12.125	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2nc1
2NCI	2016-09-28	train	7.321	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2nci
2NCQ	2017-04-19	train	0.843	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2NCR	2017-04-19	train	0.845	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2NOK	2007-02-13	train	22.325	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2NPY	2007-08-14	train	0.226	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2NPZ	2007-08-14	train	0.216	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2O32	2007-02-06	train	2.563	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2o32
2O33	2007-02-06	train	1.992	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2o33
2O3V	2007-11-06	train	0.798	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2O3W	2007-11-06	train	1.598	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2O3X	2007-11-06	train	1.443	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2O3Y	2007-11-06	train	1.254	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2O43	2007-12-04	train	4.11	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2o43
2O44	2007-12-04	train	4.161	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2o44
2O45	2007-12-04	train	4.197	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2o45
2O81	2007-07-10	train	2.598	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2O83	2007-07-10	train	2.479	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OE5	2007-02-13	train	0.167	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OE6	2007-02-13	train	0.252	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OE8	2007-02-13	train	0.185	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OEU	2007-02-20	train	0.5	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OIJ	2007-02-13	train	0.577	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OIU	2007-03-13	train	32.023	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OIY	2007-12-25	train	0.616	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OJ0	2007-12-25	train	0.838	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OJ7	2007-05-22	train	5.339	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2oj7
2OJ8	2007-05-22	train	5.503	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2oj8
2OOM	2008-01-29	train	2.683	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2OUE	2007-03-06	train	0.223	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2P7F	2007-05-22	train	0.265	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2P89	2007-04-03	train	8.37	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2PCV	2007-05-08	train	13.599	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2pcv
2PCW	2007-05-08	train	14.27	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2PN3	2008-04-01	train	7.801	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2PN4	2008-04-01	train	19.095	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2PN9	2007-10-30	train	1.881	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2PWT	2007-09-18	train	0.608	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2Q1O	2007-10-30	train	9.368	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2Q1R	2007-10-30	train	9.698	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2q1r
2QBZ	2007-09-18	train	5.17	SELECTED	train	KEPT		X	/storage9920/home/tinghao.xia/Data_V1/train/2qbz
2QEK	2008-05-06	train	21.911	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2QH2	2007-09-25	train	4.224	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2qh2
2QH3	2007-09-25	train	5.8	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2qh3
2QH4	2007-09-25	train	2.384	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2qh4
2QUS	2008-07-15	train	32.587	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2QUW	2008-07-15	train	34.592	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2QWY	2008-01-22	train	26.767	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=3; required exactly 1		
2R1S	2007-09-25	train	0.442	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2R20	2007-09-25	train	0.388	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2R21	2007-09-25	train	0.301	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2R22	2007-09-25	train	0.281	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2RLU	2008-02-26	train	2.103	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rlu
2RN1	2008-09-23	train	2.179	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2RO2	2008-12-30	train	0.992	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ro2
2RP0	2009-03-31	train	3.69	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rp0
2RP1	2009-03-31	train	3.999	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rp1
2RPK	2008-12-30	train	1.507	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rpk
2RPT	2009-08-25	train	4.349	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rpt
2RQJ	2009-11-17	train	12.578	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2RRC	2011-06-29	train	2.039	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rrc
2RVO	2017-02-08	train	2.143	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2rvo
2TOB	1999-06-22	train	2.95	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2tob
2TPK	1998-11-04	train	3.881	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2tpk
2TRA	1987-11-06	train	1.022	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2tra
2U2A	1998-03-04	train	2.692	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2u2a
2V6W	2007-11-06	train	0.66	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2V7R	2008-03-18	train	0.454	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2VAL	2007-10-16	train	8.368	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2VUQ	2009-03-10	train		EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2W89	2009-11-17	train	10.46	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2WNA	2010-02-16	train		EXCLUDE_FROZEN_RMSD		EXCLUDE_FROZEN_RMSD	PDB is listed in exclude_strict_rank1_rmsd_pdb.txt	A	
2X2Q	2011-02-16	train	13.462	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2XC6	2011-05-04	train		EXCLUDE_FROZEN_RMSD		EXCLUDE_FROZEN_RMSD	PDB is listed in exclude_strict_rank1_rmsd_pdb.txt	A	
2XEB	2010-05-26	train	6.516	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2XNW	2011-04-06	train	0.347	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2xnw
2XNZ	2011-04-06	train	0.376	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2xnz
2XO0	2011-04-06	train	0.372	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2xo0
2XO1	2011-04-06	train	0.319	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2xo1
2XSL	2011-08-10	train	9.862	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
2Y95	2011-10-26	train	1.648	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2y95
2YDH	2011-09-07	train	0.503	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ydh
2YGH	2011-09-07	train	0.927	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2ygh
2YIE	2011-08-31	train	0.318	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2YIF	2011-08-31	train	0.796	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
2Z9Q	2007-10-16	train		EXCLUDE_FROZEN_RMSD		EXCLUDE_FROZEN_RMSD	PDB is listed in exclude_strict_rank1_rmsd_pdb.txt	A	
2ZY6	2009-06-30	train	9.973	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/2zy6
300D	1997-01-24	train	0.428	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
301D	1997-01-24	train	0.578	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
30SC	2026-07-22	test	1.121	SELECTED	test	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/test/30sc
310D	1997-06-24	train	1.071	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
333D	1997-10-16	train	1.332	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/333d
353D	1997-11-10	train	0.209	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
354D	1997-11-26	train	0.202	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
357D	1997-12-01	train	0.841	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=3; required exactly 1		
359D	1997-11-07	train	0.648	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
361D	1998-07-01	train	21.432	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
364D	1998-01-02	train	0.609	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=3; required exactly 1		
36LC	2026-07-01	test	0.427	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
